No.,日付,品名コード,品名,数量,単価,金額,分類コード,分類名,備考
190,20250501,1099,ぽっくり置物(小 ,4,1337,5348,2009,装飾品,
175,20250501,1101,ﾎﾞﾝﾀﾝｱﾒ(小      ,1,170,170,2002,洋菓子,
238,20250501,1104,ﾏｸﾞﾈｯﾄ唐津城    ,6,495,2970,2004,雑貨類,唐津城関連
215,20250501,1109,むつごろうにゃん,2,660,1320,2004,雑貨類,キーホルダー
199,20250501,1111,ﾘﾍﾞﾝｼﾞｱｸｷ-ｻｷ    ,1,1100,1100,2004,雑貨類,キーホルダー
200,20250501,1117,ﾘﾍﾞﾝｼﾞｽﾃｯｶ-愛   ,1,440,440,2004,雑貨類,ステッカー
188,20250501,1119,ﾚｼﾞ袋           ,15,5,75,2011,ﾚｼﾞ袋           ,ﾚｼﾞ袋           
217,20250501,1121,一の塩250gｻ     ,4,671,2684,2007,食品,
228,20250501,1122,一の塩ｷｬﾗﾒﾙ     ,4,160,640,2010,駄菓子,お菓子(ちょい食べ)
227,20250501,1123,一の塩飴        ,1,160,160,2010,駄菓子,お菓子(ちょい食べ)
177,20250501,1125,曳山Tｼｬﾂ        ,2,2900,5800,2006,衣料,曳山関連
259,20250501,1128,塩ｻｲﾀﾞｰ         ,3,216,648,2008,飲料,
181,20250501,1130,花入れ(高野路窯 ,4,840,3360,2009,装飾品,
182,20250501,1130,花入れ(高野路窯 ,1,1050,1050,2009,装飾品,
183,20250501,1130,花入れ(高野路窯 ,1,1580,1580,2009,装飾品,
240,20250501,1131,甘夏ｷｬﾗﾒﾙ       ,3,220,660,2002,洋菓子,
176,20250501,1136,季節物770       ,1,770,770,2004,雑貨類,風呂敷・タオル
274,20250501,1138,吉野ヶ里ﾏｽｺｯﾄST ,1,1980,1980,2004,雑貨類,ぬいぐるみ
233,20250501,1139,金獅子          ,1,216,216,2004,雑貨類,曳山関連
234,20250501,1143,源頼光          ,1,216,216,2007,食品,曳山関連
252,20250501,1150,佐賀ｸﾚｰﾌﾟｼｮ     ,2,756,1512,2002,洋菓子,佐賀関連
270,20250501,1151,佐賀ﾊﾞﾙｰﾝ2ﾏｽｺｯﾄS,1,2420,2420,2007,食品,
245,20250501,1152,佐賀ﾌﾚﾝｽﾞ占いｷｬﾝ,1,432,432,2007,食品,
219,20250501,1153,佐賀みかんボーロ,8,440,3520,2003,和菓子,佐賀関連
226,20250501,1157,雑貨130         ,2,1430,2860,2004,雑貨類,
222,20250501,1162,雑貨№45        ,2,495,990,2004,雑貨類,
223,20250501,1163,雑貨№50        ,2,550,1100,2004,雑貨類,
224,20250501,1167,雑貨№70        ,2,770,1540,2004,雑貨類,
225,20250501,1169,雑貨№80        ,2,880,1760,2004,雑貨類,
178,20250501,1174,手拭い(ﾌﾞﾙｰ)    ,1,800,800,2004,雑貨類,曳山関連
236,20250501,1182,松浦漬缶詰      ,2,1404,2808,2007,食品,
216,20250501,1187,松露饅頭(10ヶ入),6,1296,7776,2003,和菓子,唐津関連
218,20250501,1189,新九州ﾙﾙﾙﾝKB3   ,1,1760,1760,2005,生活雑貨,顔用パック
253,20250501,1190,水光呼子いかせん,4,650,2600,2010,駄菓子,袋菓子
207,20250501,1192,青しそ健康うどん,2,486,972,2007,食品,
206,20250501,1192,青しそ健康そうめ,1,540,540,2007,食品,
264,20250501,1194,昔羊羹(小)      ,8,490,3920,2003,和菓子,箱入り
230,20250501,1195,赤獅子          ,1,216,216,2004,雑貨類,曳山関連
265,20250501,1197,切羊羹          ,1,540,540,2003,和菓子,箱入り
247,20250501,1201,村山ｺｰﾋｰ        ,2,140,280,2008,飲料,
248,20250501,1202,村山ヨーグルト  ,2,140,280,2008,飲料,
246,20250501,1203,村山牛乳        ,2,140,280,2008,飲料,
231,20250501,1204,鯛              ,1,216,216,2007,食品,醤油
191,20250501,1208,淡雪饅頭6個入り ,5,650,3250,2003,和菓子,箱入り
193,20250501,1209,淡雪饅頭8個入   ,2,865,1730,2003,和菓子,箱入り
268,20250501,1214,唐津お城饅頭(小 ,6,870,5220,2003,和菓子,唐津城関連
267,20250501,1215,唐津お城饅頭(大 ,3,1300,3900,2003,和菓子,唐津城関連
235,20250501,1216,唐津くんちﾁｷﾝ   ,1,558,558,2007,食品,曳山関連
237,20250501,1218,唐津ｻｸｻｸｷｬ      ,2,518,1036,2002,洋菓子,唐津関連
249,20250501,1219,唐津の風(小)    ,2,800,1600,2002,洋菓子,唐津関連
250,20250501,1219,唐津の風(大)    ,1,1600,1600,2002,洋菓子,唐津関連
186,20250501,1224,唐津城ﾒﾀﾞﾙ      ,2,600,1200,2004,雑貨類,唐津城関連
187,20250501,1227,唐津城御朱印    ,28,400,11200,2001,御朱印,
266,20250501,1228,唐津城物語      ,3,650,1950,2003,和菓子,唐津城関連
184,20250501,1230,湯呑み(大杉皿屋 ,1,1430,1430,2005,生活雑貨,
211,20250501,1231,藤棚ｸﾘｱﾌｧｲﾙ     ,1,220,220,2004,雑貨類,
205,20250501,1232,豆柴×唐津くんち,1,660,660,2004,雑貨類,曳山関連
185,20250501,1238,箸置き(大杉皿屋 ,7,550,3850,2005,生活雑貨,
232,20250501,1239,飛龍            ,1,216,216,2004,雑貨類,曳山関連
260,20250501,1242,米ｻｲﾀﾞｰ         ,1,270,270,2008,飲料,
273,20250501,1248,名字ｼ-ﾙVOL2     ,3,385,1155,2004,雑貨類,シール
189,20250501,1250,六角凧          ,1,250,250,2009,装飾品,
192,20250501,1251,六萬石          ,4,1500,6000,2003,和菓子,箱入り
197,20250501,1252,和手拭い        ,5,880,4400,2005,生活雑貨,
